Round,Doubles,Double Sixes,Winner,Number of Doubles Rolled,Number of Double Sixes Rolled
1725,True,False,House,4,0
1726,True,True,Gambler,6,1
1727,True,True,Gambler,3,2
1728,True,True,Gambler,2,1
1729,True,False,House,4,0
1730,False,False,House,0,0
1731,True,True,Gambler,7,2
1732,True,False,House,3,0
1733,True,True,Gambler,6,1
1734,True,False,House,1,0
1735,True,True,Gambler,6,1
1736,True,True,Gambler,4,1
